Category,Reference,Part Number,Description,Package,Quantity,Approx Price (USD),Source
PROCESSORS,,,,,,
Main SoC,U1,RK3576,4xA72+4xA53 6T-NPU Mali-G52 Multi-media SoC,BGA-698,1,12.00,Rockchip/AliExpress
PMIC,U2,RK806-1,Companion PMIC for RK3576 (6x DCDC + 6x LDO),QFN-68,1,3.50,Rockchip/AliExpress
LPDDR4X CH0,U3,K4UBE3D4AB-MGCL,Samsung 4GB LPDDR4X,BGA-200,1,4.00,Samsung/LCSC
LPDDR4X CH1,U4,K4UBE3D4AB-MGCL,Samsung 4GB LPDDR4X,BGA-200,1,4.00,Samsung/LCSC
eMMC,U5,KLMAG2JENB-B041,Samsung 32GB eMMC 5.1,BGA-153,1,5.00,Samsung/LCSC
SPI NOR Flash,U6,W25Q128JVSIQ,Winbond 128Mbit SPI NOR Flash,SOP-8,1,0.80,LCSC
Microcontroller,U20,RP2350A,Raspberry Pi RP2350A dual M33/RISC-V 520KB SRAM,QFN-60,1,0.80,RPi/DigiKey
RP2350 Flash,U21,W25Q16JVSSIQ,Winbond 16Mbit SPI NOR Flash (RP2350 boot),SOP-8,1,0.30,LCSC
Industrial MCU,U30,RK3506J,3xCortex-A7+M0 industrial automation SoC,QFN-88,1,3.00,Rockchip/AliExpress
Ind. LPDDR3L,U31,NT6CL64M32BM-H0,512MB LPDDR3L for RK3506J,BGA,1,2.00,LCSC
Ind. NAND Flash,U32,W29N02GVSIAA,256MB SLC NAND Flash for RK3506J,BGA-63,1,1.50,LCSC
CONNECTIVITY,,,,,,
GbE PHY,U7,RTL8211F-CG,Realtek 10/100/1000 Ethernet PHY RGMII,QFN-40,1,1.80,LCSC
WiFi 5 + BT 5.0,U8,RTL8852BS,Realtek WiFi 5 (802.11ac) + BT 5.0 SDIO module,LCC Module,1,5.00,Realtek/AliExpress
4G LTE Modem,U9,EC25-E,Quectel 4G LTE Cat.4 M.2 B-key modem,M.2 B-key,1,18.00,Quectel/AliExpress
Audio Codec,U10,ES8316,Everest low-power stereo audio codec I2S/I2C,QFN-24,1,0.80,LCSC
RADIO,,,,,,
WiFi 4 + BT 5.2,U22,CYW43439,Infineon WiFi 4 + BT 5.2 (SPI for RP2350),BGA-59,1,1.50,Infineon/DigiKey
LoRa Transceiver,U23,SX1262IMLTRT,Semtech LoRa 868/915MHz Sub-GHz transceiver,QFN-24,1,3.50,Semtech/LCSC
INDUSTRIAL,,,,,,
CAN FD Xcvr #1,U33,MCP2562FD-E/SN,Microchip CAN FD transceiver 8Mbps,SOT-23-8,1,0.30,LCSC
CAN FD Xcvr #2,U34,MCP2562FD-E/SN,Microchip CAN FD transceiver 8Mbps,SOT-23-8,1,0.30,LCSC
Digital Isolator,U35,ADUM1401ARWZ,ADI quad-channel digital isolator 2.5kV,SOIC-16W,1,2.50,ADI/LCSC
RS485 Xcvr,U36,SP3485EN-L/TR,MaxLinear RS-485/RS-422 half-duplex transceiver,SOP-8,1,0.40,LCSC
Hex Schmitt Inv,U37,SN74LVC14APWR,TI hex Schmitt-trigger inverter (industrial inputs),TSSOP-14,1,0.20,LCSC
Ind. ESD,U38,PESD5V0S4UG,Nexperia quad ESD protection for industrial I/O,SOT-553,1,0.15,LCSC
POWER MANAGEMENT,,,,,,
Solar MPPT Charger,U40,CN3722,Consonance Solar MPPT LiFePO4 charger controller,SOP-16,1,0.80,LCSC
Boost 5V,U41,TPS61022DRLR,TI 5V 3A boost converter 1MHz,SOT-23-6,1,1.20,TI/LCSC
PoE PD Controller,U42,SI3402-B-GM,Skyworks 802.3at PoE PD controller,QFN-16,1,2.50,Skyworks/DigiKey
USB-C PD Sink,U43,HUSB238,Hynetek USB-C PD sink controller (VSET resistor),SOP-8,1,0.60,Hynetek/LCSC
OR-ing Controller x3,U44a/b/c,LTC4357CMS8,ADI ideal diode OR-ing controller,SOT-23-5,3,3.00,ADI/LCSC
LDO 3.3V (RP2350),U45,MIC5219-3.3YM5,Microchip 500mA ultra-low-noise LDO,SOT-23-5,1,0.30,LCSC
LDO 3.3V (RK3506),U46,AP2112K-3.3TRG1,Diodes Inc 600mA LDO regulator,SOT-23-5,1,0.15,LCSC
SIGNAL CONDITIONING,,,,,,
Dual Schmitt Buf x2,U50/U51,SN74LVC2G17DBVR,TI dual Schmitt-trigger buffer (UART),SOT-23-6,2,0.20,LCSC
Single Schmitt Buf x5,U52-U56,SN74LVC1G17DBVR,TI single Schmitt-trigger buffer (ctrl signals),SOT-23-5,5,0.50,LCSC
ESD PROTECTION,,,,,,
USB ESD x4,U11a-d,USBLC6-2SC6,ST USB ESD protection (per USB-C port),SOT-23-6,4,0.40,LCSC
HDMI ESD,U12,PRTR5V0U2X,Nexperia low-cap ESD for HDMI TMDS,SOT-363,1,0.10,LCSC
SIM ESD,U13,PRTR5V0U2X,Nexperia low-cap ESD for SIM data/clock,SOT-363,1,0.10,LCSC
PASSIVES — CAPACITORS,,,,,,
Bypass caps,C1-C50+,CL05B104KO5NNNC,Samsung 100nF 16V X5R ceramic,0402,55,1.10,LCSC
Bulk input/output,C60-C80+,CL21A106KAYNNNE,Samsung 10µF 25V X5R ceramic,0805,20,1.00,LCSC
Bulk output boost,C81-C83,CL21A226MOCLRNC,Samsung 22µF 10V X5R ceramic,0805,5,0.50,LCSC
Soft-start CN3722,C90,100nF,Soft-start cap for CN3722 SS pin,0402,1,0.02,LCSC
Compensation CN3722,C91,470pF,Compensation cap for CN3722 COMP pin,0402,1,0.02,LCSC
Bootstrap CN3722,C92,100nF,Bootstrap cap CN3722 BST-SW,0402,1,0.02,LCSC
Crystal load caps,C93-C96,15pF,Crystal load capacitors (12MHz/25MHz),0402,4,0.04,LCSC
PASSIVES — RESISTORS,,,,,,
TPS61022 FB top,R40,732k,Feedback divider top (5V output),0402,1,0.01,LCSC
TPS61022 FB bot,R41,100k,Feedback divider bottom (5V output),0402,1,0.01,LCSC
CN3722 FB top,R42,49.9k,Battery voltage set top (3.6V LiFePO4),0402,1,0.01,LCSC
CN3722 FB bot,R43,100k,Battery voltage set bottom,0402,1,0.01,LCSC
CN3722 RT,R44,200k,Switching frequency set (~300kHz),0402,1,0.01,LCSC
CN3722 MPPT top,R45,163k,MPPT voltage divider top (18V panel),0402,1,0.01,LCSC
CN3722 MPPT bot,R46,10k,MPPT voltage divider bottom,0402,1,0.01,LCSC
Current sense,R47,50mΩ 1%,CN3722 charge current sense (~2A),2512,1,0.05,LCSC
HUSB238 VSET,R48,10k,VSET resistor for 12V PD request,0402,1,0.01,LCSC
NTC thermistor,R49,10k NTC,Battery temperature sensing,0402,1,0.05,LCSC
NTC bias,R50,10k,NTC thermistor bias resistor,0402,1,0.01,LCSC
VBAT divider top,R51,100k,ADC battery voltage divider top,0402,1,0.01,LCSC
VBAT divider bot,R52,100k,ADC battery voltage divider bottom,0402,1,0.01,LCSC
SOLAR divider top,R53,200k,ADC solar voltage divider top,0402,1,0.01,LCSC
SOLAR divider bot,R54,100k,ADC solar voltage divider bottom,0402,1,0.01,LCSC
RC filter,R55-R56,100R,ADC RC filter series resistors,0402,2,0.02,LCSC
PMOS gate pullup x3,R57-R59,100k,Gate pull-up for Si2301 PMOS switches,0402,3,0.03,LCSC
I2C pull-ups,R60-R61,4.7k,I2C bus pull-up resistors,0402,2,0.02,LCSC
CAN term jumper x2,R62-R63,120R,CAN bus termination (with solder jumper),0402,2,0.02,LCSC
RS485 term jumper,R64,120R,RS485 bus termination (with solder jumper),0402,1,0.01,LCSC
General resistors,R65-R80,Various,Pull-ups/downs/dividers as needed,0402,15,0.15,LCSC
PASSIVES — INDUCTORS,,,,,,
Boost inductor,L1,SWPA4012S1R0NT,Sunlord 1µH 4A shielded (TPS61022),4012,1,0.30,LCSC
Solar inductor,L2,CDRH6D28HPNP-100MC,Sumida 10µH 3A shielded (CN3722),6028,1,0.50,LCSC
Ferrite bead RP2350,FB1,BLM18AG102SN1D,Murata 1kΩ@100MHz ferrite bead,0603,1,0.05,LCSC
Ferrite bead RK3506,FB2,BLM18AG102SN1D,Murata 1kΩ@100MHz ferrite bead,0603,1,0.05,LCSC
Ferrite bead RK3576,FB3,BLM18AG102SN1D,Murata 1kΩ@100MHz ferrite bead,0603,1,0.05,LCSC
CRYSTALS,,,,,,
12MHz (RP2350),Y1,FA-238 12.0000MF10Z-AJ3,Epson 12MHz 20pF crystal,3225-4pin,1,0.15,LCSC
25MHz (RTL8211F),Y2,FA-238 25.0000MF20X-AJ3,Epson 25MHz 20pF crystal,3225-4pin,1,0.15,LCSC
SWITCHING TRANSISTORS,,,,,,
PMOS brain power,Q1,Si2301CDS-T1-GE3,Vishay P-ch MOSFET -20V -2.8A (brain power gate),SOT-23,1,0.05,LCSC
PMOS cellular pwr,Q2,Si2301CDS-T1-GE3,Vishay P-ch MOSFET (cellular power gate),SOT-23,1,0.05,LCSC
PMOS main switch,Q3,Si2301CDS-T1-GE3,Vishay P-ch MOSFET (main brain power switch),SOT-23,1,0.05,LCSC
OR-ing MOSFET x3,Q4-Q6,Si4456DY-T1-GE3,Vishay N-ch MOSFET 150V 5.2A (OR-ing paths),SO-8,3,0.90,LCSC
CONNECTORS,,,,,,
RJ45 PoE MagJack,J1,HR911105A,Hanrun RJ45 with integrated magnetics + PoE,THT,1,1.50,LCSC
Nano-SIM holder,J2,SIM8055-6-0-14-00-A,GCT push-push nano-SIM holder,SMD,1,0.30,LCSC
3.5mm TRRS Jack,J3,SJ-43516-SMT,CUI 3.5mm 4-pole TRRS audio jack,SMD,1,0.20,LCSC
USB-C Receptacle x4,J4-J7,USB4125-GF-A,GCT USB Type-C 16-pin receptacle,SMD,4,1.20,LCSC
Micro-HDMI Type D,J8,10029449-111RLF,Amphenol Micro-HDMI connector,SMD,1,0.40,LCSC
CSI FPC 22-pin,J9,FH12-22S-0.5SH,Hirose 22-pin 0.5mm FPC connector,SMD,1,0.20,LCSC
CSI FPC 15-pin,J10,FH12-15S-0.5SH,Hirose 15-pin 0.5mm FPC connector,SMD,1,0.20,LCSC
40-pin GPIO,J11,2x20 PinHeader 2.54mm,Standard 2x20 GPIO header (Pi 5 compat),THT,1,0.20,LCSC
WiFi U.FL Main,J12,U.FL-R-SMT,Hirose U.FL coaxial connector,SMD,1,0.10,LCSC
WiFi U.FL Aux,J13,U.FL-R-SMT,Hirose U.FL coaxial connector,SMD,1,0.10,LCSC
4G Antenna U.FL,J14,U.FL-R-SMT,Hirose U.FL coaxial connector,SMD,1,0.10,LCSC
NVMe M.2 M-key,J15,2230 M-key socket,M.2 M-key 2230 connector for NVMe SSD,SMD,1,0.80,LCSC
LoRa Antenna U.FL,J20,U.FL-R-SMT,Hirose U.FL coaxial connector,SMD,1,0.10,LCSC
RP2350 Expansion,J21,1x10 PinHeader 2.54mm,10-pin expansion header for RP2350 GPIOs,THT,1,0.05,LCSC
Industrial I/O,J30,3x10 PinHeader 2.54mm,30-pin industrial I/O header,THT,1,0.15,LCSC
Solar Input,J40,B2P-VH(LF)(SN),JST VH 2-pin solar panel connector,THT,1,0.10,LCSC
Battery,J41,B2B-PH-K-S(LF)(SN),JST PH 2-pin battery connector,THT,1,0.10,LCSC
PCB,,,,,,
PCB,—,Custom 6-layer 85x56mm,6-layer 1.6mm FR4 ENIG (JLCPCB 6-layer),—,1,8.00,JLCPCB
,,,,,,
TOTAL,,,,,~98.00,
